cm	fotos	estojo	personnalite	laminas	base	final
25	43	0	0	17	R$ 1.290,00	R$ 1.225,50
25	44	0	0	18	R$ 1.320,00	R$ 1.254,00
25	45	0	0	18	R$ 1.350,00	R$ 1.282,50
25	46	0	0	18	R$ 1.380,00	R$ 1.311,00
25	47	0	0	19	R$ 1.410,00	R$ 1.339,50
25	48	0	0	19	R$ 1.440,00	R$ 1.368,00
25	49	0	0	20	R$ 1.470,00	R$ 1.396,50
25	50	0	0	20	R$ 1.500,00	R$ 1.425,00
25	51	0	0	20	R$ 1.530,00	R$ 1.453,50
25	52	0	0	21	R$ 1.560,00	R$ 1.404,00
25	53	0	0	21	R$ 1.590,00	R$ 1.431,00
25	54	0	0	22	R$ 1.620,00	R$ 1.458,00
25	55	0	0	22	R$ 1.650,00	R$ 1.485,00
25	56	0	0	22	R$ 1.680,00	R$ 1.512,00
25	57	0	0	23	R$ 1.710,00	R$ 1.539,00
25	58	0	0	23	R$ 1.740,00	R$ 1.566,00
25	59	0	0	24	R$ 1.770,00	R$ 1.593,00
25	60	0	0	24	R$ 1.800,00	R$ 1.620,00
25	61	0	0	24	R$ 1.830,00	R$ 1.647,00
25	62	0	0	25	R$ 1.860,00	R$ 1.674,00
25	63	0	0	25	R$ 1.890,00	R$ 1.701,00
25	64	0	0	26	R$ 1.920,00	R$ 1.632,00
25	65	0	0	26	R$ 1.950,00	R$ 1.657,50
25	66	0	0	26	R$ 1.980,00	R$ 1.683,00
25	67	0	0	27	R$ 2.010,00	R$ 1.708,50
25	68	0	0	27	R$ 2.040,00	R$ 1.734,00
25	69	0	0	28	R$ 2.070,00	R$ 1.759,50
25	70	0	0	28	R$ 2.100,00	R$ 1.785,00
25	71	0	0	28	R$ 2.130,00	R$ 1.810,50
25	72	0	0	29	R$ 2.160,00	R$ 1.836,00
25	73	0	0	29	R$ 2.190,00	R$ 1.861,50
25	74	0	0	30	R$ 2.220,00	R$ 1.887,00
25	75	0	0	30	R$ 2.250,00	R$ 1.912,50
25	76	0	0	30	R$ 2.280,00	R$ 1.938,00
25	77	0	0	31	R$ 2.310,00	R$ 1.848,00
25	78	0	0	31	R$ 2.340,00	R$ 1.872,00
25	79	0	0	32	R$ 2.370,00	R$ 1.896,00
25	80	0	0	32	R$ 2.400,00	R$ 1.920,00
25	81	0	0	32	R$ 2.430,00	R$ 1.944,00
25	82	0	0	33	R$ 2.460,00	R$ 1.968,00
25	83	0	0	33	R$ 2.490,00	R$ 1.992,00
25	84	0	0	34	R$ 2.520,00	R$ 2.016,00
25	85	0	0	34	R$ 2.550,00	R$ 2.040,00
25	86	0	0	34	R$ 2.580,00	R$ 2.064,00
25	87	0	0	35	R$ 2.610,00	R$ 2.088,00
25	88	0	0	35	R$ 2.640,00	R$ 2.112,00
25	89	0	0	36	R$ 2.670,00	R$ 2.136,00
25	90	0	0	36	R$ 2.700,00	R$ 2.160,00
25	91	0	0	36	R$ 2.730,00	R$ 2.184,00
25	92	0	0	37	R$ 2.760,00	R$ 2.208,00
25	93	0	0	37	R$ 2.790,00	R$ 2.232,00
25	94	0	0	38	R$ 2.820,00	R$ 2.256,00
25	95	0	0	38	R$ 2.850,00	R$ 2.280,00
25	96	0	0	38	R$ 2.880,00	R$ 2.304,00
25	97	0	0	39	R$ 2.910,00	R$ 2.328,00
25	98	0	0	39	R$ 2.940,00	R$ 2.352,00
25	99	0	0	40	R$ 2.970,00	R$ 2.376,00
25	100	0	0	40	R$ 3.000,00	R$ 2.400,00
25	101	0	0	40	R$ 3.030,00	R$ 2.424,00
25	102	0	0	41	R$ 3.060,00	R$ 2.448,00
25	103	0	0	41	R$ 3.090,00	R$ 2.472,00
25	104	0	0	42	R$ 3.120,00	R$ 2.496,00
25	105	0	0	42	R$ 3.150,00	R$ 2.520,00
25	106	0	0	42	R$ 3.180,00	R$ 2.544,00
25	107	0	0	43	R$ 3.210,00	R$ 2.568,00
25	108	0	0	43	R$ 3.240,00	R$ 2.592,00
25	109	0	0	44	R$ 3.270,00	R$ 2.616,00
25	110	0	0	44	R$ 3.300,00	R$ 2.640,00
25	111	0	0	44	R$ 3.330,00	R$ 2.664,00
25	112	0	0	45	R$ 3.360,00	R$ 2.688,00
25	113	0	0	45	R$ 3.390,00	R$ 2.712,00
25	25	1	0	10	R$ 750,00	R$ 1.250,00
25	26	1	0	10	R$ 780,00	R$ 1.280,00
25	27	1	0	11	R$ 810,00	R$ 1.310,00
25	28	1	0	11	R$ 840,00	R$ 1.340,00
25	29	1	0	12	R$ 870,00	R$ 1.370,00
25	30	1	0	12	R$ 900,00	R$ 1.400,00
25	31	1	0	12	R$ 930,00	R$ 1.430,00
25	32	1	0	13	R$ 960,00	R$ 1.460,00
25	33	1	0	13	R$ 990,00	R$ 1.490,00
25	34	1	0	14	R$ 1.020,00	R$ 1.520,00
25	35	1	0	14	R$ 1.050,00	R$ 1.550,00
25	36	1	0	14	R$ 1.080,00	R$ 1.580,00
25	37	1	0	15	R$ 1.110,00	R$ 1.610,00
25	38	1	0	15	R$ 1.140,00	R$ 1.640,00
25	39	1	0	16	R$ 1.170,00	R$ 1.611,50
25	40	1	0	16	R$ 1.200,00	R$ 1.640,00
25	41	1	0	16	R$ 1.230,00	R$ 1.668,50
25	42	1	0	17	R$ 1.260,00	R$ 1.697,00
25	43	1	0	17	R$ 1.290,00	R$ 1.725,50
25	44	1	0	18	R$ 1.320,00	R$ 1.754,00
25	45	1	0	18	R$ 1.350,00	R$ 1.782,50
25	46	1	0	18	R$ 1.380,00	R$ 1.811,00
25	47	1	0	19	R$ 1.410,00	R$ 1.839,50
25	48	1	0	19	R$ 1.440,00	R$ 1.868,00
25	49	1	0	20	R$ 1.470,00	R$ 1.896,50
25	50	1	0	20	R$ 1.500,00	R$ 1.925,00
25	51	1	0	20	R$ 1.530,00	R$ 1.953,50
25	52	1	0	21	R$ 1.560,00	R$ 1.904,00
25	53	1	0	21	R$ 1.590,00	R$ 1.931,00
25	54	1	0	22	R$ 1.620,00	R$ 1.958,00
25	55	1	0	22	R$ 1.650,00	R$ 1.985,00
25	56	1	0	22	R$ 1.680,00	R$ 2.012,00
25	57	1	0	23	R$ 1.710,00	R$ 2.039,00
25	58	1	0	23	R$ 1.740,00	R$ 2.066,00
25	59	1	0	24	R$ 1.770,00	R$ 2.093,00
25	60	1	0	24	R$ 1.800,00	R$ 2.120,00
25	61	1	0	24	R$ 1.830,00	R$ 2.147,00
25	62	1	0	25	R$ 1.860,00	R$ 2.174,00
25	63	1	0	25	R$ 1.890,00	R$ 2.201,00
25	64	1	0	26	R$ 1.920,00	R$ 2.132,00
25	65	1	0	26	R$ 1.950,00	R$ 2.157,50
25	66	1	0	26	R$ 1.980,00	R$ 2.183,00
25	67	1	0	27	R$ 2.010,00	R$ 2.208,50
25	68	1	0	27	R$ 2.040,00	R$ 2.234,00
25	69	1	0	28	R$ 2.070,00	R$ 2.259,50
25	70	1	0	28	R$ 2.100,00	R$ 2.285,00
25	71	1	0	28	R$ 2.130,00	R$ 2.310,50
25	72	1	0	29	R$ 2.160,00	R$ 2.336,00
25	73	1	0	29	R$ 2.190,00	R$ 2.361,50
25	74	1	0	30	R$ 2.220,00	R$ 2.387,00
25	75	1	0	30	R$ 2.250,00	R$ 2.412,50
25	76	1	0	30	R$ 2.280,00	R$ 2.438,00
25	77	1	0	31	R$ 2.310,00	R$ 2.348,00
25	78	1	0	31	R$ 2.340,00	R$ 2.372,00
25	79	1	0	32	R$ 2.370,00	R$ 2.396,00
25	80	1	0	32	R$ 2.400,00	R$ 2.420,00
25	81	1	0	32	R$ 2.430,00	R$ 2.444,00
25	82	1	0	33	R$ 2.460,00	R$ 2.468,00
25	83	1	0	33	R$ 2.490,00	R$ 2.492,00
25	84	1	0	34	R$ 2.520,00	R$ 2.516,00
25	85	1	0	34	R$ 2.550,00	R$ 2.540,00
25	86	1	0	34	R$ 2.580,00	R$ 2.564,00
25	87	1	0	35	R$ 2.610,00	R$ 2.588,00
25	88	1	0	35	R$ 2.640,00	R$ 2.612,00
25	89	1	0	36	R$ 2.670,00	R$ 2.636,00
